year,month,tech,monthly_reference_market_price_eur_mwh
2022,11,WIND,137.18
2022,11,PV,153.74
2022,11,BIOGAS,173.63
2022,12,WIND,141.64
2022,12,PV,246.61
2022,12,BIOGAS,251.62
2023,12,WIND,44.09
2023,12,PV,65.92
2023,12,BIOGAS,68.52
2019,12,WIND,25.99
2019,12,PV,36.96
2019,12,BIOGAS,31.97
2020,1,WIND,30.91
2020,1,PV,38.31
2020,1,BIOGAS,35.03
2020,2,WIND,16.8
2020,2,PV,23.19
2020,2,BIOGAS,21.92
2020,3,WIND,17.73
2020,3,PV,16.18
2020,3,BIOGAS,22.49
2020,4,WIND,9.4
2020,4,PV,8.9
2020,4,BIOGAS,17.09
2020,5,WIND,12.14
2020,5,PV,14.13
2020,5,BIOGAS,17.6
2020,6,WIND,22.03
2020,6,PV,24.73
2020,6,BIOGAS,26.18
2020,7,WIND,20.35
2020,7,PV,26.23
2020,7,BIOGAS,30.06
2020,8,WIND,30.05
2020,8,PV,33.21
2020,8,BIOGAS,34.86
2020,9,WIND,37.85
2020,9,PV,39.81
2020,9,BIOGAS,43.69
2020,10,WIND,29.86
2020,10,PV,32.69
2020,10,BIOGAS,33.97
2020,11,WIND,31.99
2020,11,PV,39.98
2020,11,BIOGAS,38.79
2020,12,WIND,32.91
2020,12,PV,48.11
2020,12,BIOGAS,43.52
2021,2,WIND,43.61
2021,2,PV,44.99
2021,2,BIOGAS,48.7
2021,3,WIND,33.95
2021,3,PV,41.05
2021,3,BIOGAS,47.16
2021,4,WIND,43.53
2021,4,PV,45.51
2021,4,BIOGAS,53.61
2021,5,WIND,41.34
2021,5,PV,41.87
2021,5,BIOGAS,53.35
2021,6,WIND,63.3
2021,6,PV,68.64
2021,6,BIOGAS,74.08
2021,7,WIND,68.08
2021,7,PV,74.09
2021,7,BIOGAS,81.37
2021,8,WIND,72.53
2021,8,PV,76.81
2021,8,BIOGAS,82.7
2021,10,WIND,109.82
2021,10,PV,128.04
2021,10,BIOGAS,139.49
2021,12,WIND,160.77
2021,12,PV,270.75
2021,12,BIOGAS,221.06
2022,1,WIND,128.83
2022,1,PV,178.38
2022,1,BIOGAS,167.73
2022,2,WIND,108.25
2022,2,PV,118.71
2022,2,BIOGAS,128.8
2022,3,WIND,197.66
2022,3,PV,207.12
2022,3,BIOGAS,252.01
2022,4,WIND,127.03
2022,4,PV,145.66
2022,4,BIOGAS,165.73
2022,5,WIND,132.42
2022,5,PV,151.32
2022,5,BIOGAS,177.48
2022,6,WIND,196.92
2022,6,PV,189.4
2022,6,BIOGAS,218.03
2022,7,WIND,278.24
2022,7,PV,260.93
2022,7,BIOGAS,315
2023,1,WIND,87.26
2023,1,PV,122.91
2023,1,BIOGAS,117.83
2023,3,WIND,85.15
2023,3,PV,88.83
2023,3,BIOGAS,102.52
2023,4,WIND,89.4
2023,4,PV,80.02
2023,4,BIOGAS,100.74
2023,5,WIND,80.95
2023,5,PV,53.56
2023,5,BIOGAS,81.72
2023,6,WIND,92.36
2023,6,PV,71.24
2023,6,BIOGAS,94.76
2023,7,WIND,54.45
2023,7,PV,51.73
2023,7,BIOGAS,77.61
2023,8,WIND,66.13
2023,8,PV,75.33
2023,8,BIOGAS,94.32
2023,9,WIND,85.66
2023,9,PV,74.47
2023,9,BIOGAS,100.72
2023,10,WIND,68.64
2023,10,PV,67.63
2023,10,BIOGAS,87.38
2023,11,WIND,76.53
2023,11,PV,85.25
2023,11,BIOGAS,91.12
2024,1,WIND,65.02
2024,1,PV,75.35
2024,1,BIOGAS,76.57
2024,2,WIND,53.35
2024,2,PV,58.75
2024,2,BIOGAS,61.34
2024,3,WIND,55.38
2024,3,PV,49.65
2024,3,BIOGAS,64.7
2024,4,WIND,48
2024,4,PV,37.95
2024,4,BIOGAS,62.36
2024,5,WIND,56.08
2024,5,PV,31.61
2024,5,BIOGAS,67.21
2024,6,WIND,63.56
2024,6,PV,46.35
2024,6,BIOGAS,84.45
2024,8,WIND,61.68
2024,8,PV,42.63
2024,8,BIOGAS,82.05
2024,7,WIND,49.85
2024,7,PV,35.54
2024,7,BIOGAS,67.7
2024,9,WIND,62.66
2024,9,PV,45.12
2024,9,BIOGAS,78.31
2024,10,WIND,68.22
2024,10,PV,67.52
2024,10,BIOGAS,86.1
2024,11,WIND,88.81
2024,11,PV,100.76
2024,11,BIOGAS,113.91
2024,12,WIND,72.37
2024,12,PV,111.71
2024,12,BIOGAS,108.32
2025,1,WIND,85.06
2025,1,PV,115.11
2025,1,BIOGAS,114.14
2025,3,WIND,75.13
2025,3,PV,50.27
2025,3,BIOGAS,94.73
2025,4,WIND,73.14
2025,4,PV,30.41
2025,4,BIOGAS,77.94
2025,5,WIND,61.71
2025,5,PV,19.97
2025,5,BIOGAS,67.34
2021,1,WIND,46.45
2021,1,PV,55.43
2021,1,BIOGAS,52.82
2021,9,WIND,117.54
2021,9,PV,117.15
2021,9,BIOGAS,128.37
2021,11,WIND,140.56
2021,11,PV,183.07
2021,11,BIOGAS,176.15
2022,8,WIND,460.92
2022,8,PV,399.1
2022,8,BIOGAS,465.18
2022,9,WIND,282.38
2022,9,PV,316.73
2022,9,BIOGAS,346.12
2022,10,WIND,127.15
2022,10,PV,129.04
2022,10,BIOGAS,152.6
2023,2,WIND,106.2
2023,2,PV,123.43
2023,2,BIOGAS,128.31
2025,2,WIND,115.91
2025,2,PV,110.99
2025,2,BIOGAS,128.52
